id,name,artist,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2DQ1ITjI0YoLFzuADN1ZBW,"No Limit",G-Eazy,87,rap,0.838000,0.771000,1,-3.791000,1,0.244000,0.011700,0,0.085300,0.405000,175.957000,245387,4
1Bi5t0q9j3nYXIZuZgSGvr,"White Iverson","Post Malone",81,rap,0.677000,0.577000,7,-7.671000,1,0.035500,0.221000,0,0.077600,0.329000,130.050000,256533,4
4TKO1gFn3kurQbNLh3asym,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,57,rap,0.927000,0.665000,11,-5.313000,1,0.244000,0.061000,0,0.123000,0.175000,127.076000,343150,4
4cGeMgLcykDLAazHFpbZbU,DNA.,"Kendrick Lamar",81,rap,0.636000,0.517000,0,-6.759000,1,0.360000,0.004020,0,0.087400,0.394000,139.928000,185947,4
1XRgIKC5TPwo7nWGyKqgG0,"I Get The Bag (feat. Migos)","Gucci Mane",89,rap,0.890000,0.633000,11,-5.475000,1,0.168000,0.023200,0.000343,0.099300,0.425000,139.948000,233087,4
0EdMYHi2FTUIhQ5ANoT8Ax,T-Shirt,Migos,57,rap,0.865000,0.687000,10,-3.744000,0,0.217000,0.242000,0,0.158000,0.486000,139.023000,242407,4
2XDhuJvvx2wcIROXbfTTYr,Believe,Eminem,78,rap,0.886000,0.488000,1,-5.628000,0,0.184000,0.166000,0,0.343000,0.114000,130.064000,315347,4
1OAh8uOEOvTDqkKFsKksCi,"Wild Thoughts","DJ Khaled",86,rap,0.671000,0.672000,0,-3.094000,0,0.068800,0.032900,0,0.118000,0.632000,97.980000,204173,4
3zMkigL6JlMlIuyNhllQR8,"White Sand",Migos,74,rap,0.827000,0.589000,5,-7.576000,0,0.077700,0.035000,0,0.272000,0.421000,142.092000,202835,4
7iL6o9tox1zgHpKUfh9vuC,"In Da Club","50 Cent",77,rap,0.899000,0.713000,6,-2.752000,0,0.366000,0.255000,0,0.070800,0.777000,90.051000,193467,4
2jG6ifTWXk0AvonlgcXGgZ,Portland,Drake,77,rap,0.925000,0.443000,1,-8.216000,1,0.264000,0.017200,0,0.276000,0.350000,136.078000,236615,4
3fmk3BdsZxERH19AOu4JHr,"Emoji A Chain",Migos,72,rap,0.889000,0.330000,1,-8.330000,1,0.180000,0.035200,0,0.126000,0.392000,139.953000,315185,4
